AA-Schütze: 			AA_X
asst. AA-Schütze: 		assAA_X
Ammo Bearer:			ABearer_X
MMG-Schütze:			AR_X
asst. MMG-Schütze:		assAR_X
AT-Specialist:			AT_X
asst. AT-Spec.:			assAT_X
Platoon Leader:			command_X
Squad Leader:			leader_X
Team Leader:			ft_X / ftLeader_X
Medic:					medic_X
Combat Life Saver:		cls_X
LMG-Schütze:			lmg_X
Grenadier:				gren_X
Marksman:				marksman_X
Schütze:				soldier_X
Schütze (AT):			soldierAT_X
Pionier:				spec_X
UAV-Operator:			uavOp_X
Logistiker:				log_X
Fahrer:					driver_X
Pilot:					pilot_X
Scharfschütze:			sniper_X
Spotter:				spotter_X
Taucher:				diver_X
Taucher (Medic):		diver_medic_X
Taucher (Pionier):		diver_spec_X
Mortar Gunner:			mortar_X
asst. Mortar Gunner:	assMortar_X
HMG Gunner:				CSW_X
asst. HMG Gunner:		assCSW_X
